Epoch,Loss,HR,NDCG
0,0.354,0.529,0.294
1,0.304,0.576,0.324
2,0.287,0.604,0.344
3,0.278,0.616,0.352
4,0.274,0.619,0.356
5,0.273,0.628,0.358
6,0.272,0.623,0.359
7,0.271,0.631,0.363
8,0.27,0.634,0.364
9,0.27,0.632,0.365
10,0.269,0.633,0.364
11,0.269,0.632,0.366
12,0.269,0.634,0.368
13,0.268,0.629,0.365
14,0.268,0.632,0.365
15,0.268,0.634,0.365
16,0.268,0.635,0.365
17,0.268,0.636,0.367
18,0.267,0.636,0.366
19,0.267,0.634,0.367
20,0.267,0.634,0.367
21,0.267,0.635,0.369
22,0.267,0.634,0.367
23,0.267,0.633,0.367
24,0.267,0.633,0.367
25,0.267,0.636,0.369
26,0.266,0.635,0.367
27,0.267,0.636,0.369
28,0.266,0.638,0.369
29,0.266,0.638,0.368
30,0.266,0.638,0.369
31,0.266,0.638,0.369
32,0.266,0.639,0.369
33,0.266,0.64,0.37
34,0.266,0.638,0.369
35,0.266,0.637,0.369
36,0.266,0.638,0.37
37,0.266,0.639,0.37
38,0.266,0.638,0.369
39,0.266,0.633,0.366
40,0.266,0.638,0.369
41,0.266,0.639,0.369
42,0.266,0.642,0.371
43,0.266,0.641,0.37
44,0.266,0.638,0.369
45,0.265,0.638,0.369
46,0.265,0.641,0.371
47,0.265,0.639,0.369
48,0.265,0.64,0.369
49,0.266,0.637,0.367
